Team,Date,Year,MATCHUP,Home/Away,W/L,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
OKC,9/2/20,2020,OKC @ HOU,TRUE,L,241,102,35,76,46.1,19,42,45.23809524,16,34,47.1,16,21,76.2,7,39,46,24,6,4,21,16,-2
MIL,9/2/20,2020,MIL vs. MIA,FALSE,L,240,114,37,85,43.5,30,60,50,7,25,28,33,39,84.6,17,33,50,16,6,2,14,25,-2
MIA,9/2/20,2020,MIA @ MIL,TRUE,W,241,116,37,81,45.7,20,36,55.55555556,17,45,37.8,25,32,78.1,7,31,38,22,12,4,10,26,2
HOU,9/2/20,2020,HOU vs. OKC,FALSE,W,240,104,35,88,39.8,18,39,46.15384615,17,49,34.7,17,19,89.5,11,33,44,18,11,7,12,24,2
UTA,9/1/20,2020,UTA @ DEN,TRUE,L,242,78,30,79,38,22,45,48.88888889,8,34,23.5,10,15,66.7,10,38,48,16,6,3,12,14,-2
TOR,9/1/20,2020,TOR vs. BOS,FALSE,L,240,99,36,90,40,25,50,50,11,40,27.5,16,19,84.2,7,34,41,25,10,7,12,19,-3
DEN,9/1/20,2020,DEN vs. UTA,FALSE,W,239,80,31,83,37.3,23,52,44.23076923,8,31,25.8,10,13,76.9,8,38,46,21,7,4,10,18,2
BOS,9/1/20,2020,BOS @ TOR,TRUE,W,241,102,32,76,42.1,17,38,44.73684211,15,38,39.5,23,25,92,4,40,44,18,6,9,17,20,3
OKC,8/31/20,2020,OKC vs. HOU,FALSE,W,239,104,38,89,42.7,26,53,49.05660377,12,36,33.3,16,18,88.9,10,41,51,17,10,3,19,16,4
MIL,8/31/20,2020,MIL vs. MIA,FALSE,L,239,104,37,75,49.3,21,40,52.5,16,35,45.7,14,26,53.8,7,27,34,22,6,7,19,24,-11
MIA,8/31/20,2020,MIA @ MIL,TRUE,W,241,115,39,84,46.4,27,53,50.94339623,12,31,38.7,25,27,92.6,12,34,46,21,8,2,16,23,11
HOU,8/31/20,2020,HOU @ OKC,TRUE,L,241,100,38,84,45.2,23,40,57.5,15,44,34.1,9,12,75,4,37,41,19,14,5,22,19,-4
UTA,8/30/20,2020,UTA vs. DEN,FALSE,L,241,107,34,75,45.3,16,39,41.02564103,18,36,50,21,30,70,5,25,30,20,8,3,10,20,-12
TOR,8/30/20,2020,TOR vs. BOS,FALSE,L,241,94,31,84,36.9,21,44,47.72727273,10,40,25,22,29,75.9,7,33,40,22,10,2,14,24,-18
LAC,8/30/20,2020,LAC @ DAL,TRUE,W,241,111,44,91,48.4,33,62,53.22580645,11,29,37.9,12,13,92.3,8,44,52,22,8,2,13,21,14
DEN,8/30/20,2020,DEN @ UTA,TRUE,W,241,119,39,71,54.9,21,35,60,18,36,50,23,26,88.5,7,36,43,22,8,4,15,24,12
DAL,8/30/20,2020,DAL vs. LAC,FALSE,L,241,97,38,90,42.2,27,53,50.94339623,11,37,29.7,10,17,58.8,8,34,42,20,5,3,12,15,-14
BOS,8/30/20,2020,BOS @ TOR,TRUE,W,240,112,39,83,47,22,44,50,17,39,43.6,17,21,81,5,45,50,25,8,4,22,22,18
POR,8/29/20,2020,POR @ LAL,TRUE,L,239,122,44,93,47.3,31,66,46.96969697,13,27,48.1,21,26,80.8,10,33,43,20,12,1,19,28,-9
ORL,8/29/20,2020,ORL @ MIL,TRUE,L,240,104,37,94,39.4,22,53,41.50943396,15,41,36.6,15,21,71.4,8,39,47,22,3,2,11,23,-14
OKC,8/29/20,2020,OKC @ HOU,TRUE,L,239,80,29,92,31.5,22,46,47.82608696,7,46,15.2,15,23,65.2,15,43,58,11,3,8,18,12,-34
MIL,8/29/20,2020,MIL vs. ORL,FALSE,W,241,118,40,88,45.5,24,43,55.81395349,16,45,35.6,22,27,81.5,7,49,56,27,5,4,14,19,14
LAL,8/29/20,2020,LAL vs. POR,FALSE,W,239,131,48,88,54.5,34,52,65.38461538,14,36,38.9,21,26,80.8,7,34,41,27,11,5,17,20,9
HOU,8/29/20,2020,HOU vs. OKC,FALSE,W,241,114,43,100,43,24,52,46.15384615,19,48,39.6,9,14,64.3,10,45,55,28,12,3,11,23,35
UTA,8/25/20,2020,UTA @ DEN,TRUE,L,240,107,39,78,50,23,44,52.27272727,16,34,47.1,13,16,81.3,4,31,35,23,7,3,15,20,-10
LAC,8/25/20,2020,LAC vs. DAL,FALSE,W,240,154,53,84,63.1,31,49,63.26530612,22,35,62.9,26,34,76.5,8,41,49,28,5,4,15,26,43
DEN,8/25/20,2020,DEN vs. UTA,FALSE,W,239,117,43,85,50.6,27,50,54,16,35,45.7,15,16,93.8,5,33,38,22,4,5,9,18,10
DAL,8/25/20,2020,DAL @ LAC,TRUE,L,238,111,38,85,44.7,26,48,54.16666667,12,37,32.4,23,33,69.7,7,24,31,19,8,6,13,22,-43
POR,8/24/20,2020,POR vs. LAL,FALSE,L,241,115,40,89,44.9,28,61,45.90163934,12,28,42.9,23,31,74.2,17,25,42,20,9,2,17,27,-20
ORL,8/24/20,2020,ORL vs. MIL,FALSE,L,240,106,36,87,41.4,18,42,42.85714286,18,45,40,16,20,80,5,38,43,26,7,6,16,23,-15
OKC,8/24/20,2020,OKC vs. HOU,FALSE,W,239,117,42,86,48.8,31,54,57.40740741,11,32,34.4,22,28,78.6,9,37,46,16,6,0,14,16,3
MIL,8/24/20,2020,MIL @ ORL,TRUE,W,240,121,45,91,49.5,28,50,56,17,41,41.5,14,21,66.7,8,41,49,29,7,5,12,19,15
MIA,8/24/20,2020,MIA vs. IND,FALSE,W,240,99,40,91,44,32,61,52.45901639,8,30,26.7,11,14,78.6,17,43,60,24,8,4,13,12,12
